,node,desc,type,pmax,pmin,fuelcost,inflow_fac,inflow_ref,storage_cap,storage_price,storval_filling_ref,storval_time_ref,storage_ini,pump_cap,pump_efficiency,pump_deadband,scenario
95,FR0 0,FR0 0 PHS,PHS,5023.0,0.0,0.0,0.0,const,79126.09077937408,1.0,const,const,0.67,5023.0,0.8660254037844386,1.5,
96,FR0 0,FR0 0 biomass,RES_other,1888.5083738957344,0.0,15.828205128205129,1.0,const,0.0,,,,,0.0,,,
97,FR0 0,FR0 0 CCGT,fossil_gas,11650.069596028085,0.0,47.92214795081963,1.0,const,0.0,,,,,0.0,,,
98,FR0 0,FR0 0 coal,fossil_other,8214.0,0.0,67.66461572871573,1.0,const,0.0,,,,,0.0,,,
99,FR0 0,FR0 0 hydro,hydro,6368.544856001137,0.0,0.0,0.9,inflow_FR_1,7349854.0691659795,1.0,const,const,0.67,0.0,0.0,0.0,
100,FR0 0,FR0 0 nuclear,nuclear,63130.0,0.0,14.013271165644174,0.616,const,0.0,,,,,0.0,,,
101,FR0 0,FR0 0 ror,ror,10764.198454969455,0.0,0.0,0.9,gen_ror_FR_1,0.0,,,,,0.0,,,
102,FR0 0,FR0 0 solar-hsat,solar,7628.645134170725,0.0,0.01,1.0,gen_sol_FR_2,0.0,,,,,0.0,,,
103,FR0 0,FR0 0 onwind,wind_on,13582.88931054641,0.0,0.015,1.0,gen_wind_FR_4,0.0,,,,,0.0,,,
104,FR6 0,FR6 0 biomass,RES_other,42.49162610426541,0.0,15.828205128205129,1.0,const,0.0,,,,,0.0,,,
105,FR6 0,FR6 0 CCGT,fossil_gas,301.93040397191663,0.0,46.80312068965517,1.0,const,0.0,,,,,0.0,,,
106,FR6 0,FR6 0 hydro,hydro,1910.455143998864,0.0,0.0,0.9,inflow_FR_1,1050642.1169692026,1.0,const,const,0.67,0.0,0.0,0.0,
107,FR6 0,FR6 0 ror,ror,190.80154503054337,0.0,0.0,0.9,gen_ror_FR_1,0.0,,,,,0.0,,,
108,FR6 0,FR6 0 solar-hsat,solar,559.3548658292752,0.0,0.01,1.0,gen_sol_FR_4,0.0,,,,,0.0,,,
109,FR6 0,FR6 0 onwind,wind_on,27.110689453590247,0.0,0.015,1.0,gen_wind_FR_7,0.0,,,,,0.0,,,
110,GB3 0,GB3 0 biomass,RES_other,3926.047951112168,0.0,15.828205128205129,1.0,const,0.0,,,,,0.0,,,
111,GB3 0,GB3 0 CCGT,fossil_gas,33676.44308190686,0.0,46.80312068965518,1.0,const,0.0,,,,,0.0,,,
112,GB3 0,GB3 0 coal,fossil_other,8007.431731984829,0.0,32.21332121212121,1.0,const,0.0,,,,,0.0,,,
113,GB3 0,GB3 0 hydro,hydro,61.0,0.0,0.0,0.9,inflow_GB_1,55079.00677200903,1.0,const,const,0.67,0.0,0.0,0.0,
114,GB3 0,GB3 0 nuclear,nuclear,9229.0,0.0,14.013271165644172,0.684,const,0.0,,,,,0.0,,,
115,GB3 0,GB3 0 ror,ror,1142.181928812557,0.0,0.0,0.9,gen_ror_GB_1,0.0,,,,,0.0,,,
116,GB3 0,GB3 0 solar-hsat,solar,12624.639716613285,0.0,0.01,1.0,gen_sol_GB_2,0.0,,,,,0.0,,,
117,GB3 0,GB3 0 offwind-dc,wind_off,9354.958916642398,0.0,0.015,1.0,gen_wind_GB_2,0.0,,,,,0.0,,,
