,node,desc,type,pmax,pmin,fuelcost,inflow_fac,inflow_ref,storage_cap,storage_price,storval_filling_ref,storval_time_ref,storage_ini,pump_cap,pump_efficiency,pump_deadband
224,NO1 0,NO1 0 ror,ror,5937.13,0,0,0.9,gen_ror_NO_1,0,,,,,0,,
225,NO1 0,NO1 0 solar-hsat,solar,119.826,0,0.01,1,gen_sol_NO_2,0,,,,,0,,
227,NO1 0,NO1 0 onwind,wind_on,2261.8,0,0.015,1,gen_wind_NO_4,0,,,,,0,,
228,PL0 0,PL0 0 PHS,PHS,1780.02,0,0,0,const,11626.73926,1,const,const,0.67,1780.02,0.866025404,1.5
229,PL0 0,PL0 0 CCGT,fossil_gas,2106.33,0,46.80312069,1,const,0,,,,,0,,
230,PL0 0,PL0 0 coal,fossil_other,30961.12,0,67.66461573,1,const,0,,,,,0,,
231,PL0 0,PL0 0 hydro,hydro,156.51,0,0,0.9,inflow_PL_1,1787384.615,1,const,const,0.67,0,0,0
232,PL0 0,PL0 0 ror,ror,435.43,0,0,0.9,gen_ror_PL_1,0,,,,,0,,
233,PL0 0,PL0 0 solar-hsat,solar,430.13,0,0.01,1,gen_sol_PL_2,0,,,,,0,,
235,PL0 0,PL0 0 onwind,wind_on,5807.67,0,0.015,1,gen_wind_PL_4,0,,,,,0,,
236,PT0 0,PT0 0 PHS,PHS,2820,0,0,0,const,1222221.626,1,const,const,0.67,2820,0.866025404,1.5
237,PT0 0,PT0 0 biomass,RES_other,604.8,0,15.82820513,1,const,0,,,,,0,,
238,PT0 0,PT0 0 CCGT,fossil_gas,4606,0,46.90221997,1,const,0,,,,,0,,
239,PT0 0,PT0 0 hydro,hydro,1515.3,0,0,0.9,inflow_PT_1,2127667.312,1,const,const,0.67,0,0,0
240,PT0 0,PT0 0 ror,ror,2857.6,0,0,0.9,gen_ror_PT_1,0,,,,,0,,
241,PT0 0,PT0 0 solar-hsat,solar,323.5,0,0.01,1,gen_sol_PT_2,0,,,,,0,,
243,PT0 0,PT0 0 onwind,wind_on,5126.6,0,0.015,1,gen_wind_PT_3,0,,,,,0,,
244,RO0 0,RO0 0 CCGT,fossil_gas,3033,0,46.80312069,1,const,0,,,,,0,,
245,RO0 0,RO0 0 coal,fossil_other,4128,0,22.73498788,1,const,0,,,,,0,,
