week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,const
2.97,2.89,2.8,2.75,2.69,2.58,2.5,2.43,2.33,2.22,2.12,1.98,1.86,1.72,1.6,1.5,1.5,1.6,1.94,2.12,2.4,2.56,2.69,2.8,2.89,3.04,3.11,3.18,3.24,3.24,3.3,3.35,3.35,3.35,3.35,3.35,3.4,3.35,3.35,3.4,3.4,3.35,3.4,3.4,3.35,3.35,3.3,3.24,3.24,3.18,3.11,3.04,1
2.88,2.8,2.75,2.7,2.64,2.52,2.44,2.37,2.27,2.15,2.05,1.9,1.77,1.63,1.5,1.4,1.4,1.5,1.86,2.05,2.33,2.5,2.64,2.75,2.8,2.96,3.04,3.1,3.17,3.17,3.23,3.28,3.28,3.28,3.28,3.28,3.33,3.28,3.28,3.33,3.33,3.28,3.33,3.33,3.28,3.28,3.23,3.17,3.17,3.1,3.04,2.96,1
2.8,2.75,2.71,2.65,2.59,2.46,2.38,2.3,2.2,2.08,1.98,1.82,1.69,1.54,1.4,1.3,1.3,1.4,1.77,1.98,2.27,2.44,2.59,2.7,2.75,2.88,2.96,3.03,3.09,3.09,3.15,3.21,3.21,3.21,3.21,3.21,3.27,3.21,3.21,3.27,3.27,3.21,3.27,3.27,3.21,3.21,3.15,3.09,3.09,3.03,2.96,2.88,1
2.76,2.71,2.66,2.6,2.54,2.41,2.32,2.24,2.13,2.01,1.9,1.74,1.6,1.45,1.3,1.2,1.2,1.3,1.69,1.9,2.2,2.38,2.54,2.65,2.71,2.8,2.88,2.95,3.02,3.02,3.08,3.14,3.14,3.14,3.14,3.14,3.2,3.14,3.14,3.2,3.2,3.14,3.2,3.2,3.14,3.14,3.08,3.02,3.02,2.95,2.88,2.8,1
2.71,2.66,2.61,2.55,2.48,2.35,2.26,2.18,2.07,1.94,1.82,1.65,1.51,1.36,1.2,1.1,1.1,1.2,1.6,1.82,2.13,2.32,2.48,2.61,2.66,2.76,2.8,2.88,2.95,2.95,3.01,3.07,3.07,3.07,3.07,3.07,3.13,3.07,3.07,3.13,3.13,3.07,3.13,3.13,3.07,3.07,3.01,2.95,2.95,2.88,2.8,2.76,1
2.67,2.62,2.56,2.5,2.43,2.29,2.2,2.12,2.0,1.86,1.75,1.57,1.43,1.27,1.1,1.0,1.0,1.1,1.51,1.75,2.07,2.26,2.43,2.56,2.62,2.71,2.76,2.8,2.87,2.87,2.94,3.01,3.01,3.01,3.01,3.01,3.07,3.01,3.01,3.07,3.07,3.01,3.07,3.07,3.01,3.01,2.94,2.87,2.87,2.8,2.76,2.71,1
2.62,2.57,2.52,2.45,2.38,2.24,2.14,2.06,1.93,1.79,1.68,1.49,1.34,1.18,1.0,0.99,0.99,1.0,1.43,1.68,2.0,2.2,2.38,2.51,2.57,2.67,2.72,2.76,2.8,2.8,2.87,2.94,2.94,2.94,2.94,2.94,3.0,2.94,2.94,3.0,3.0,2.94,3.0,3.0,2.94,2.94,2.87,2.8,2.8,2.76,2.71,2.67,1
2.58,2.52,2.47,2.4,2.32,2.18,2.08,1.99,1.87,1.72,1.6,1.41,1.26,1.09,0.99,0.98,0.98,0.99,1.34,1.6,1.93,2.14,2.32,2.46,2.52,2.63,2.68,2.72,2.76,2.76,2.8,2.87,2.87,2.87,2.87,2.87,2.93,2.87,2.87,2.93,2.93,2.87,2.93,2.93,2.87,2.87,2.8,2.76,2.76,2.72,2.67,2.62,1
2.54,2.48,2.42,2.35,2.27,2.12,2.02,1.93,1.8,1.65,1.52,1.33,1.17,1.0,0.98,0.96,0.96,0.98,1.26,1.52,1.87,2.08,2.27,2.41,2.48,2.59,2.64,2.68,2.72,2.72,2.76,2.8,2.8,2.8,2.8,2.8,2.87,2.8,2.8,2.87,2.87,2.8,2.87,2.87,2.8,2.8,2.76,2.72,2.72,2.68,2.63,2.58,1
2.49,2.43,2.37,2.3,2.22,2.07,1.96,1.87,1.73,1.58,1.45,1.25,1.09,0.99,0.96,0.95,0.95,0.96,1.17,1.45,1.8,2.02,2.22,2.36,2.43,2.54,2.6,2.64,2.68,2.68,2.72,2.76,2.76,2.76,2.76,2.76,2.8,2.76,2.76,2.8,2.8,2.76,2.8,2.8,2.76,2.76,2.72,2.69,2.68,2.64,2.59,2.54,1
